Location,Indıcator,Subject,Measure,Frequency,Time,Value
DEU,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2018,13.96
DEU,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2019,14.85
DEU,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2020,16.37
DEU,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2021,15.64
ITA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2018,17.72
ITA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2019,18.13
ITA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2020,19.54
ITA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2021,18.52
ESP,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2018,13.98
ESP,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2019,14.44
ESP,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2020,16.62
ESP,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2021,16.67
GBR,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2018,10.31
GBR,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2019,11.63
GBR,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2020,13.63
GBR,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2021,12.59
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2018,7.78
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2019,9.7
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2020,8.43
USA,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,2021,8
